key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,60,59,down,0.01,db,0.046716468412865565,0.0009070001542568207,154.20734209986404,154.20734209986404,154.50727529963478,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,61,60,down,0.01,db,0.04666271503984941,0.0008510998450219631,156.50724899955094,156.50724899955094,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,62,61,down,0.01,db,0.04660902351708026,0.0008676000870764256,158.7741708997637,158.7741708997637,159.0740154995583,0,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,63,62,up,0.01,db,0.04666271503984941,0.0009144996292889118,161.074036099948,161.074036099948,161.37394839990884,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,64,63,up,0.01,db,0.04666271503984941,0.0009330003522336483,163.39087149966508,163.39087149966508,163.6907489998266,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,65,64,up,0.01,db,0.04666271503984941,0.0009126998484134674,165.7578651998192,165.7578651998192,166.05752159981057,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,66,65,down,0.005,db,0.04663586155163381,0.0008062999695539474,168.10730099957436,168.10730099957436,168.40749369980767,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,67,66,down,0.005,db,0.04663586155163381,0.0008598999120295048,170.42407469963655,170.42407469963655,170.72395679960027,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,68,67,down,0.005,db,0.04663586155163381,0.0008040000684559345,172.74075559992343,172.74075559992343,173.0406365999952,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,69,68,down,0.005,db,0.046609023517080274,0.000901899766176939,175.09070199960843,175.09070199960843,175.39051689999178,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,70,69,down,0.005,db,0.046609023517080274,0.0009385999292135239,177.40747329965234,177.40747329965234,177.70736050000414,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,71,70,down,0.005,db,0.046609023517080274,0.0008052000775933266,179.7406808999367,179.7406808999367,180.0408695996739,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,72,71,down,0.005,db,0.04658220092729552,0.0008742003701627254,182.05729809962213,182.05729809962213,182.35735599976033,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,73,72,down,0.005,db,0.04658220092729552,0.0008896999061107635,184.3906502998434,184.3906502998434,184.69085599994287,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,74,73,down,0.005,db,0.04658220092729552,0.0008698999881744385,186.7243722998537,186.7243722998537,187.0240479996428,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,75,74,down,0.005,db,0.046555393773391386,0.0008499999530613422,189.04064019955695,189.04064019955695,189.34088309993967,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,76,75,down,0.005,db,0.046555393773391386,0.0008459999226033688,191.37396669993177,191.37396669993177,191.6741519998759,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,77,76,down,0.005,db,0.046555393773391386,0.0009023998863995075,193.74065249972045,193.74065249972045,194.04086149996147,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,78,77,down,0.005,db,0.04652860204648482,0.0007994999177753925,196.05776489991695,196.05776489991695,196.35718839988112,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,79,78,down,0.005,db,0.04652860204648482,0.0008256002329289913,198.3904552999884,198.3904552999884,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,80,79,down,0.005,db,0.04652860204648482,0.0008817999623715878,200.67397149978206,200.67397149978206,200.97379079973325,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,81,80,down,0.005,db,0.046501825737697886,0.0008036000654101372,202.9908810998313,202.9908810998313,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,82,81,down,0.005,db,0.046501825737697886,0.000802499707788229,205.27399469958618,205.27399469958618,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,83,82,down,0.005,db,0.046501825737697886,0.0008307998068630695,207.55757219996303,207.55757219996303,207.85731289954856,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,84,83,down,0.005,db,0.04647506483815775,0.0009196000173687935,209.9075157996267,209.9075157996267,210.20747109968215,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,85,84,down,0.005,db,0.04647506483815775,0.0008372999727725983,212.25741419987753,212.25741419987753,212.55756230000407,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,86,85,down,0.005,db,0.04647506483815775,0.0007540998049080372,214.59096519974992,214.59096519974992,214.8908245996572,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,87,86,down,0.005,db,0.046448319338996694,0.0008360003121197224,216.924200899899,216.924200899899,217.22406119992957,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,88,87,down,0.005,db,0.046448319338996694,0.0008979002013802528,219.39091769978404,219.39091769978404,219.6908935997635,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,89,88,down,0.005,db,0.046448319338996694,0.0008314000442624092,221.80751419998705,221.80751419998705,222.10734679969028,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,90,89,down,0.005,db,0.046421589231352096,0.0008573001250624657,224.17405619984493,224.17405619984493,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,91,90,down,0.005,db,0.046421589231352096,0.0008025001734495163,226.4576640999876,226.4576640999876,226.75754159968346,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,92,91,down,0.005,db,0.046421589231352096,0.0008227000944316387,228.8074554996565,228.8074554996565,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,93,92,down,0.005,db,0.04639487450636644,0.0009240000508725643,231.05765979969874,231.05765979969874,231.3575407997705,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,94,93,down,0.005,db,0.04639487450636644,0.0008239001035690308,233.40761789958924,233.40761789958924,233.7076241998002,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
